source,target,mode
Wehrmacht,wermacht,sub
Luftwaffe,luftvafe,sub
Kriegsmarine,krigsmarine,sub
Führer,fiurer,sub
Reich,rajch,sub
Bundeswehr,bundeswer,sub
München,minchen,sub
Nürnberg,niurnberg,sub
Königsberg,kenigsbreg,sub
Frankfurt,frankfort,sub
Goebbels,gebels,sub
Himmler,himler,sub
Rommel,romel,sub
Bismarck,bizmark,sub
Habsburg,hapsburg,sub
Hohenzollern,hohencollern,sub
Versailles,wersaj,sub
Anschluss,anszlus,sub
Blitzkrieg,blickrieg,sub
Panzer,panzer,sub
Gestapo,gestapo,sub
Wehrmacht,ˈveːɐ̯maxt,phoneme_ipa
Führer,ˈfyːʁɐ,phoneme_ipa
